id	technicalName	alias	establishedBy	monthEstablished	yearEstablished	linkToVideo	videoStartTime	videoEndTime	startPos	endPos	difficultyLevel	description	descriptionEs	tips	tipsEs	recommendedPrerequisites	dateAdded	isImportant
10000	Panic Roll		Jediah Doohan			https://www.youtube.com/watch?v=12HbVhoFloM			SOFA	KOREAN	2	From Sofa you spin 270 to land in Korean (or Chest) and combine it with a roll around the line.	Desde Sofa giras 270 para aterrizar en Korean (o Chest) y lo combinas con un giro alrededor de la línea.	Sit in Sofa position grab the line to the side of you with hands facing behind you. On the way up dive down where your hands are and roll around the line. Land in Korean or Chest.	Siéntate en posición de sofá y agarra la línea a tu lado con las manos mirando hacia atrás. Al subir, sumérgete donde están tus manos y rueda alrededor de la línea. Aterriza en coreano o en pecho.	10225	1 Jan 2022	
10001	Side Sofa Roll	Utinni Roll	Michele Eibeck		2021	https://www.instagram.com/p/CNYQEb4Jt1M/			SOFA	SOFA	1	Start in Sofa. Both hands next to you (right or left) holding on to the line. Then do a Sofa Roll with your body leaning towards the line where your hands are.	Comienza en el sofá. Las dos manos a tu lado (derecha o izquierda) sujetándose a la línea. Luego haz un Sofa Roll con tu cuerpo inclinado hacia la línea donde están tus manos.	Stay small and compact during the roll.	Manténgase pequeño y compacto durante el rodaje.		1 Jan 2022	FALSE
10003	Sofa Roll from Korean	Richy Roll	Richard Schupisser			https://youtu.be/yzx3j2WKvGA?t=15	15	21	KOREAN	SOFA	2	From Korean let yourself fall to the side and immediately after you start the roll swing one leg over the line to finish the roll as a Sofa Roll.	Desde korean déjate caer hacia un lado e inmediatamente después de empezar el roll balancea una pierna sobre la línea para terminar el rollo como un sofa-roll				1 Jan 2022	
10004	Hammock Roll		Samuel Volery		2016	https://www.youtube.com/watch?v=maY2RjAJs1g			BACK	BACK	1	Lie on your back and grab the line behind your head with both hands. Hook one foot under the line and roll around the line landing again in Backbounce.	Túmbate de espaldas y agarra la línea por detrás de la cabeza con ambas manos. Engancha un pie bajo la línea y rueda alrededor de la línea aterrizando de nuevo en Backbounce.				1 Jan 2022	
10005	Sofa Roll		Samuel Volery		2016	https://www.youtube.com/watch?v=Ugw1gRm-T0U			SOFA	SOFA	1	Sit in Sofa, grab the line with both hands and press the line against your body. Then let yourself fall backward.	Siéntate en sofá, agarra la línea con ambas manos y presiona la línea contra tu culo. A continuación, déjate caer hacia atrás.	Leash to the side can help prevent bad falls.; If you fall into a backlever position let go of the line in order to save your shoulders.	La correa a un lado puede ayudar a prevenir las malas caídas; si se cae en una posición de espalda, suelte la línea para salvar sus hombros.		1 Jan 2022	
10006	Belly Roll					https://www.youtube.com/watch?v=1qJJ26dPKyc			BELLY	BELLY	1	With both hands on the line supporting your weight you lie on your belly and roll forward around the line.	Con las dos manos en la línea soportando tu peso, te tumbas sobre el vientre de manera perpendicular y ruedas hacia delante alrededor de la línea.				1 Jan 2022	
10007	Chest Roll					https://www.youtube.com/watch?v=ih6Rx-UpBfw&t=333	333	339	CHEST	CHEST	1	From lying on your chest get some momentum with your free arm and then roll around the line grabbing it with both hands. Land back in chest.	Desde el pecho toma impulso con la pierna libre y luego rueda alrededor de la línea agarrándola con ambas manos. Aterriza de nuevo en el pecho.	You can wrap the foot around the line to avoid falling away from the line.	Puede envolver el pie alrededor de la línea para evitar que se caiga de la línea.		1 Jan 2022	
10011	Korean Roll					https://www.youtube.com/watch?v=yze-WPst9R8			KOREAN	KOREAN	1	Sit in Korean, grab the line in front of you with both hands and let yourself fall to the side.	Siéntese en Korean, agarre la línea frente a usted con ambas manos y déjese caer hacia un lado.	Sometimes called "Harry Potter Roll"	A veces llamado "Rollo de Harry Potter"		1 Jan 2022	
10012	Back Korean Roll to Sofa		Sakalomo		2021	https://youtu.be/7yLCyoHgUS0?t=783	783	790	KOREAN	SOFA	2	Do a Back Korean Roll but the legs go away from the line so you can go to Sofa when landing.	Inicia el movimiento de un back korean roll pero pasa una pierna por delante para terminar en sofa al final del roll				1 Jan 2022	
10013	Freefall 360 Roll		Eli Ellis		2019	https://www.instagram.com/p/Bsi7_vTlN0Y/			SOFA	CHEST	2	Freefall with a Roll. Similar to Panic Roll but starting in Sofa facing the other anchor.	Caída libre con un roll. Similar al Panic Roll pero comenzando en Sofá de cara al otro anclaje				1 Jan 2022	FALSE
10014	Expo Buddha Roll		Eli Ellis		2020	https://youtu.be/hsALSrUdryU?t=29	30	33	BUDDHA	BUDDHA	2	Buddha Roll.	Roll con las piernas cruzadas en forma de buda , una mano alante y otra atras. si es en expo una mano a cada lado 				1 Jan 2022	FALSE
10015	Flowflip					https://youtu.be/12HbVhoFloM?t=199	199		KOREAN	CHEST	2	Similar to a Panic Roll but you start from Korean turned 90 further away to where you want to go.	Es similar a un panic roll, pero empiezas desde korean girado 90 más lejos de donde quieres ir.	Grab the line behind your back and let yourself fall backwards. The rest happens by magic!	Agarra la línea a tu espalda y déjate caer hacia atrás. El resto ocurre por arte de magia.	10000;10224	1 Jan 2022	
10016	Panic Roll to Sofa		Salomé Cholet		2021	https://youtu.be/7yLCyoHgUS0?t=491	491	496	SOFA	SOFA	2	Do a Panic Roll but before you land throw your second leg on the other side of the line as well to land back in Sofa.	Haz un panic roll pero antes de aterrizar lanza tu segunda pierna al otro lado de la línea también para aterrizar de nuevo en Sofá.			10000	1 Jan 2022	
10017	Backbounce to Chest Roll					https://www.youtube.com/watch?v=ih6Rx-UpBfw&t=478	478	483	BACK	CHEST	2	From Backbounce move forward like you are going to Chest but add a Chest Roll.	Desde el Backbounce muévete hacia delante como si fueras a hacer Chest pero añade un Chest Roll.			10186	1 Jan 2022	
10018	Backbounce Panic Roll					https://www.youtube.com/watch?v=LPsuhcOZd0Q			BACK	KOREAN	2	From Backbounce swing one leg to one side and roll around the line on the other side to perform a Panic Roll.	Desde el Backbounce gira una pierna hacia un lado y rueda alrededor de la línea del otro lado para realizar un Panic Roll.			10000;10186	1 Jan 2022	
10019	Backbounce Richy Roll					https://www.youtube.com/watch?v=uuFlRIMmP8M&t=199	199	203	BACK	SOFA	2	From Backbounce get back up into Korean and in one fluid motion kick one leg over the line to go into a Sofa Roll.	Desde el Backbounce vuelve a subir a korean y en un movimiento fluido patea una pierna por encima de la línea para pasar a un Sofa Roll.			10003;10186	1 Jan 2022	
10020	Double Hammock Roll					https://youtu.be/Ej2ocABoNC4?t=19688	19688	19693	BACK	BACK	2	Two Hammock Rolls in one bounce.	Dos hammok roll en un solo rebote.			10004	1 Jan 2022	
10021	Back Roll Twist					https://youtu.be/rWqH_51ztQA?t=3487	3487	3493	BACK	KOREAN	2	This often happens when you try a normal Back Roll with bad timing.	Esto suele ocurrir cuando se intenta hacer un Back Roll normal con un mal timing (demasiado temprano)				1 Jan 2022	
10022	Sofa Roll 360		Anthony Boulay			https://www.youtube.com/watch?v=ekkrE58S4O8			SOFA	SOFA	3	Start like you would do a Panic Roll but in the end stick your butt out and land in Sofa.	Empieza como si hicieras un panik roll pero al final saca el culo y aterriza en Sofá.			10222	1 Jan 2022	
10023	Hammock Roll from Feet		Augustin Moinat		2021				STAND	BACK	3	Roll down to Backbounce.	Rueda hacia abajo a Backbounce desde pie .			10004	1 Jan 2022	
10024	Korean 270 Spin to Back Belly Roll	Underflip	Augustin Moinat		2021				KOREAN	BELLY	3	Spin like you would do a flowflip (without the rotation) but then finish with a back belly roll.	Gira como si hicieras un flowflip (sin roll) pero luego termina con un giro de vientre hacia atrás.				1 Jan 2022	
10025	Back Roll Twist from Feet	Escoba Roll	Sakalomo		2021	https://www.instagram.com/p/CMm5lqolNs4/			STAND	CHEST	3	Do a Back Roll from Feet but with a roll around the line as well.	Haz un voltereta hacia atras  desde los Pies pero con un roll alrededor de la línea también.				1 Jan 2022	
10026	Back Korean Roll 180	Richard Roll	Sakalomo		2021	https://youtu.be/7yLCyoHgUS0?t=694	694	698	KOREAN	KOREAN	3	Do a Back Korean Roll but the legs go away from the line in order to turn 180 and land back in Korean looking at the other anchor.	Haz un Rollo Coreano de Espalda pero las piernas se alejan de la línea para girar 180 y aterrizar de nuevo en coreano mirando al otro ancla.				1 Jan 2022	
10027	Nevermind BS 360 to Chest	Spiral	Sakalomo		2021	https://youtu.be/7yLCyoHgUS0?t=746	746	761	NEVERMIND	CHEST	3	Do a Nevermind up but instead of going to Feet you turn 360 and land in Chest.	Haz una subida de Nevermind pero en vez de ir a Pies giras 360 y aterrizas en Pecho.				1 Jan 2022	
10028	Double Double Drop Knee Roll		Davis Hermes		2021	https://youtu.be/VP49hErTqM0?t=125	125	130	DOUBLE DROP KNEE	DOUBLE DROP KNEE	3	Double Roll in Double Drop Knee.	Doble rodillo en la rodilla de doble caída.				1 Jan 2022	
10029	Inward Drop Knee Spin to Front Sofa Roll		Davis Hermes		2021	https://youtu.be/VP49hErTqM0?t=97	97	102	INWARD DROP KNEE	SOFA	3	Start from Inward Drop Knee and spin 270 to go into a Front Sofa Roll.	Comienza desde la rodilla caída hacia adentro y gira 270 para entrar en un rollo de sofá frontal.				1 Jan 2022	
10030	Freefall 360		Eli Ellis		2019	https://www.instagram.com/p/Bsi7_vTlN0Y/			SOFA	CHEST	3	Start in Sofa facing the anchor, spin 360 behind you down to Chest.	Comienza en Sofá de cara al ancla, gira 360 detrás de ti hasta el pecho.				1 Jan 2022	FALSE
10031	Frodo Roll from Feet		Eli Ellis		2019	https://www.instagram.com/p/CIqfPhXhNw5/			EXPOSURE	FRODO	3	Roll down to Frodo.	Baja a Frodo.				1 Jan 2022	FALSE
10032	Sick Nasty to Chest	Nasty Chest	Eli Ellis		2020	https://www.instagram.com/p/CJeCTdHBaUn/			SOFA	CHEST	3	Sick Nasty landing in Chest.	Sick Nasty aterrizando en el pecho.				1 Jan 2022	FALSE
10033	Frodo Roll to Expo Buddha		Eli Ellis		2020	https://youtu.be/hsALSrUdryU?t=143	143	147	FRODO	BUDDHA	3	Starting in Frodo do a roll and land in Buddha.	Empezando por Frodo haz una tirada y aterriza en Buda.				1 Jan 2022	FALSE
10034	Nevermind Roll to Sofa	Never Lounge	Eli Ellis		2018				NEVERMIND	SOFA	3	Do a Nevermind with a Chest Roll and then swing your leg over to end in Sofa.	Haz un "Nevermind" con un "Chest Roll" y luego gira la pierna para terminar en "Sofa".				1 Jan 2022	FALSE
10035	Sick Nasty to Chest Roll	Nasty Chest Roll	Eli Ellis		2020	https://www.instagram.com/p/CJeCTdHBaUn/			SOFA	CHEST	3	Sick Nasty to Chest Roll.	Rollo de la enfermedad en el pecho.				1 Jan 2022	
10036	Nevermind		Friedi Kuehne		2015	https://www.youtube.com/watch?v=JXLw6K-AX7I			NEVERMIND	STAND	3	From the catch position (Nevermind) stand back up.	Desde la posición de captura (no importa) ponte de pie.				1 Jan 2022	
10037	Half Back Roll		Guillaume Fontaine		2017	https://www.youtube.com/watch?v=O_E_2cB0Pcw&t=4	4	7	BACK	SHOULDER	3	From Backbounce do a Back Roll but stop in Shoulderstand.	Desde el Backbounce haz un Back Roll pero detente en el Shoulderstand.			10047	1 Jan 2022	FALSE
10038	360 to Chest	Dirty Bastard	Ian Eisenberg		2021	https://www.youtube.com/watch?v=A8O3iGYGPPk&t=39	39	41	STAND	CHEST	3	From standing you turn 360 and land in Chest.	Desde la posición de pie se gira 360 y se aterriza en Pecho.				1 Jan 2022	
10039	Antihero		Ian Eisenberg		2020	https://youtu.be/Ab2gW1rv5e8?t=34	34	48	ROCKET	SOFA	3	Antihero but landing in Sofa.	Antihéroe pero aterrizando en Sofá.				1 Jan 2022	
10040	Rocket Cartwheel to Hang	Shuriken	Ian Eisenberg		2020	https://youtu.be/qLEnzTtvTcA?t=26	26	31	ROCKET	ROCKET	3	Do a 360 while hanging under the line.	Haz un 360 mientras cuelgas bajo la línea.				1 Jan 2022	FALSE
10041	"No-hands" Korean Roll from Feet	California Roll	Ian Eisenberg		2020	https://youtu.be/T27UrrWAr7A			STAND	KOREAN	3	From standing let the line come to your kneepit and roll to the side landing in korean.	Desde la posición de pie deja que la línea llegue a tu rodilla y rueda hacia el lado aterrizando en coreano.				1 Jan 2022	
10042	Feet to Shoulder	Kamikaze	Samuel Volery			https://youtu.be/9Ab1JPDJR-I?t=234	234	237	STAND	SHOULDER	3	From Standing drop to Shoulderstand.	De la caída de pie a la parada de hombros.				1 Jan 2022	
10043	Rocket Mount to Sofa		Samuel Volery		2017	https://youtu.be/hsALSrUdryU?t=73	73	78	ROCKET	SOFA	3	From Hanging fly up to Sofa.	Desde la mosca colgante hasta el sofá.				1 Jan 2022	
10044	Sick Nasty	Flare	Samuel Volery		2018	https://www.youtube.com/watch?v=_xAtTSwu7M8			SOFA	SOFA	3	From Sofa you grab the line next to you with both hands and swing the legs over the line and around behind you and again over the line on the other side of your hands back to Sofa.	Desde el Sofá agarras la línea que está a tu lado con ambas manos y balanceas las piernas por encima de la línea y por detrás de ti y de nuevo por encima de la línea al otro lado de tus manos de vuelta al Sofá.				1 Jan 2022	
10045	Triple Hammock Roll		Tlaloc Moctezuma-Burns		2020	https://www.youtube.com/watch?v=Se5XNo0RSP8&t=557	557	562	BACK	BACK	3	Three Hammock Rolls in one bounce.	Tres rollos de hamaca en un solo rebote.				1 Jan 2022	FALSE
10046	Back Roll to Backbounce	Back Magic				https://www.youtube.com/watch?v=-HEZdGIakVQ			BACK	BACK	3	Back Roll directly into Backbounce.	Rollo de espalda directamente en Backbounce.			10047	1 Jan 2022	FALSE
10047	Back Roll					https://youtu.be/9pi0GYhBvdo?t=13	13	19	BACK	KOREAN	3	From Backbounce pull yourself to the back over your shoulder and land in Korean.	Desde el Backbounce tira hacia atrás por encima del hombro y aterriza en coreano.	Have the leash on the same side as the shoulder you roll over.	Tenga la correa en el mismo lado que el hombro sobre el que rueda.		1 Jan 2022	
10048	Front Roll								SHOULDER	KOREAN	3	From Shoulderstand roll over your back to land in Korean.	Desde la parada de hombros rueda sobre tu espalda para aterrizar en coreano.	If you are on the right shoulder try to thread your right arm through the leash so you don't end up with the leash stuck on your shoulder.	Si está en el hombro derecho, intente pasar el brazo derecho por la correa para no acabar con la correa atascada en el hombro.		1 Jan 2022	
10049	Utinni Roll to Feet		Michele Eibeck		2021	https://www.instagram.com/p/CVy8ddWKXQx/			SOFA	EXPOSURE	4	Like Sofa Roll to Feet but grabbing with both hands on your side.	Como el rollo de sofá a los pies, pero agarrando con ambas manos en su lado.				1 Jan 2022	FALSE
10050	Panic Roll to Feet		Anthony Boulay			https://www.youtube.com/watch?v=hQaJ54xvfOA			SOFA	EXPOSURE	4	Panic Roll but landing to Feet.	Rollo de pánico pero aterrizando a los pies.	During the roll get your far foot on the line. At the end of the roll get your second foot up on the line.	Durante la tirada, pon el pie más lejano en la línea. Al final de la tirada, pon el segundo pie en la línea.	10000	1 Jan 2022	
10051	Shoulder Roll		Anthony Boulay			https://youtu.be/hsALSrUdryU?t=81	81	85	SHOULDER	SHOULDER	4	From Shoulderstand roll to one side and land back in Shoulderstand.	Desde la postura de los hombros gira hacia un lado y vuelve a la postura de los hombros.				1 Jan 2022	
10052	Makako		Sakalomo		2021	https://youtu.be/44gWgvZrso4			NEVERMIND	BELLY	4	Hang in Nevermind but with the hands opposing each other. Thread the leg that is free through your leg and the closer arm and kick through to go to Back Belly Roll.	Colócate en Nevermind pero con las manos opuestas. Enhebra la pierna que está libre a través de tu pierna y el brazo más cercano y da una patada para pasar a Back Belly Roll.				1 Jan 2022	
10053	FS 360 Butt Flatspin	Butter	Tlaloc Moctezuma-Burns		2021	https://youtu.be/RDVaUFdqMmE?t=237	237	241	SOFA	SOFA	4	In Sofa grab the line behind you (right arm grabs the line to your left behind you or vice versa). Then pull with that arm to do a 360 landing back in Sofa.	En Sofa agarra la línea detrás de ti (el brazo derecho agarra la línea a tu izquierda detrás de ti o viceversa). Luego tira con ese brazo para hacer un aterrizaje de 360 en Sofa.				1 Jan 2022	
10054	Rocket Mount to Back Sofa Roll		Sakalomo		2020	https://youtu.be/n_YEN0Yva5I?t=70	70	76	ROCKET	SOFA	4	From Hanging swing your legs beside your hands (similar to a Sick Nasty movement) and go into a Back Sofa Roll.	Desde Hanging balancea tus piernas al lado de tus manos (similar a un movimiento Sick Nasty) y pasa a un Back Sofa Roll.				1 Jan 2022	
10055	Frodo Roll to Feet		Eli Ellis		2019	https://www.instagram.com/p/CIqfPhXhNw5/			FRODO	EXPOSURE	4	Frodo Roll to Feet.	Frodo rueda a los pies.				1 Jan 2022	FALSE
10056	Belly Roll to Feet		Enzo Fuchs		2018	https://www.youtube.com/watch?v=qUxUNfgvoPs&t=107	107	110	BELLY	EXPOSURE	4	From Belly turn one time around the line and land in Exposure in one bounce.	Desde Belly gira una vez alrededor de la línea y aterriza en Exposure en un rebote.			10006	1 Jan 2022	
10057	Chest Roll to Front Roll		Guillaume Fontaine		2017	https://youtu.be/O_E_2cB0Pcw?t=40	40	44	CHEST	KOREAN	4	Start by doing a Chest Roll and then do a Front Roll by pushing with one foot off the line.	Comienza haciendo un Rollo de Pecho y luego haz un Rollo de Frente empujando con un pie fuera de la línea.				1 Jan 2022	
10058	360 Roll Down to Chest		Ian Eisenberg		2021	https://www.youtube.com/watch?v=A8O3iGYGPPk&t=86	86	96	STAND	CHEST	4	From standing you turn 360 while doing a roll around the line and land in Chest.	Desde la posición de pie se gira 360 mientras se hace un rollo alrededor de la línea y se aterriza en Pecho.				1 Jan 2022	
10059	Reverse Rocket Mount to Sofa	Rock'n'Roll	Ian Eisenberg		2020	https://www.youtube.com/watch?v=5rGCjINEs0Q&t=39	39	43	ROCKET	SOFA	4	From Rocket do a Reverse Rocket Mount but instead of going to Feet you land in Sofa.	Desde Rocket haz un Reverse Rocket Mount pero en lugar de ir a Feet aterriza en Sofa.				1 Jan 2022	
10060	Shrimpflip		Ian Eisenberg		2021	https://youtu.be/7yLCyoHgUS0?t=1501	1501	1508	ROCKET	ROCKET	4	From the Rocket you kick your feet trough your arms between the line and your body, regrab the line and land back in Rocket.	Desde el Cohete pateas tus pies a través de tus brazos entre la línea y tu cuerpo, vuelves a agarrar la línea y aterrizas de nuevo en el Cohete.				1 Jan 2022	
10061	Cordova Roll		Ian Eisenberg		2020	https://youtu.be/Ab2gW1rv5e8?t=58	58	63	ROCKET	ROCKET	4	Go up behind the line in a Double Drop Knee position but then fully extend your upper body and upper legs while keeping the line at your ankles behind your back. Roll around the line and end up back in Hanging.	Sube por detrás de la línea en posición de Doble Rodilla Caída, pero luego extiende completamente la parte superior del cuerpo y la parte superior de las piernas mientras mantienes la línea en tus tobillos por detrás de tu espalda. Rueda alrededor de la línea y termina de nuevo en Colgado.				1 Jan 2022	FALSE
10062	Rocket 360 to Rocket	Full Rocket	Ian Eisenberg		2021	https://youtu.be/aYsX0kpCnAg?t=23	23	31	ROCKET	ROCKET	4	From Rocket do a 360 around an axis perpendicular to the line and land again in Rocket.	Desde Rocket haz un 360 alrededor de un eje perpendicular a la línea y aterriza de nuevo en Rocket.				1 Jan 2022	FALSE
10063	Rocket Roll 180 to Sofa	Rocket Rewind	Ian Eisenberg		2021	https://youtu.be/aYsX0kpCnAg?t=6	6	14	ROCKET	SOFA	4	Start by doing a Rocket Mount but then go into a Belly Roll finishing with a 180 to Sofa.	Comienza haciendo un Rocket Mount pero luego pasa a un Belly Roll terminando con un 180 a Sofa.	Get a lot of momentum for the Rocket Roll and in the end do a 180 and stick your butt out as in the Sofa Roll 360.	Coge mucho impulso para el Rocket Roll y al final haz un 180 y saca el culo como en el Sofa Roll 360.		1 Jan 2022	
10065	Sick Nasty 180 Variation	Freak Nasty	Ian Eisenberg		2020	https://youtu.be/uOuqykzwN7w?t=147	147	162	SOFA	SOFA	4	Do a Sick Nasty but with a 180.	Haz un Sick Nasty pero con un 180.			10044	1 Jan 2022	FALSE
